species,length,weight,w_l_ratio,cluster
0,-0.9409221969318837,-0.2786624103570872,0.5463508338730831,2
0,-1.4680656916900692,-0.45169987086342883,1.765554882479561,2
0,-1.2614254417448603,-0.26904921810673516,1.2778732630369698,2
0,-1.3752884366126283,-0.36518114061025825,1.5217140727582656,2
0,-0.9170250251695127,-0.3459547561095536,0.4650705639659845,2
0,-1.1250709911007433,-0.4420866786130767,0.7901916435943785,2
0,-1.1152309791985904,-0.39402071736131494,0.7901916435943785,2
0,-1.3260883771018646,-0.5862845623683611,1.115312723222773,2
0,-1.4582256797879163,-0.557444985617304,1.6029943426653643,2
0,-1.255802577800773,-0.46131306311378134,1.115312723222773,2
0,-1.3106255012556245,-0.326728371608849,1.3591535329440685,2
0,-0.9957451203867351,-0.557444985617304,0.4650705639659845,2
0,-1.2543968618147514,-0.39402071736131494,1.115312723222773,2
0,-1.4554142478158727,-0.5189922166158948,1.684274612572463,2
0,-1.3907513124588684,-0.47092625536413346,1.5217140727582656,2
0,-1.1166366951846123,-0.5093790243655427,0.7089113736872803,2
0,-1.5060200233126584,-0.5189922166158948,1.8468351523866597,2
0,-1.290945477451319,-0.42286029411237214,1.1965929931298716,2
0,-1.1953567904018345,-0.6439637158704751,0.7901916435943785,2
0,-1.338739820976061,-0.557444985617304,1.1965929931298716,2
0,-1.0069908482749097,-0.4805394476144855,0.5463508338730831,2
0,-1.1447510149050486,-0.36518114061025825,0.8714719135014771,2
0,-1.501802875354593,-0.4132471018620196,2.009395692200857,2
0,-1.2796997495631441,-0.4036339096116675,1.1965929931298716,2
0,-1.4258942121094142,-0.326728371608849,1.765554882479561,2
0,-1.1011738193383722,-0.4901526398648381,0.7089113736872803,2
0,-1.437139939997589,-0.5189922166158948,1.6029943426653643,2
0,-1.1784881985695725,-0.47092625536413346,0.8714719135014771,2
0,-1.4919628634524402,-0.6055109468690658,1.684274612572463,2
0,-1.379505584570694,-0.5093790243655427,1.440433802851167,2
0,-0.9198364571415563,-0.46131306311378134,0.3837902940588859,2
0,-0.954979356792102,-0.3171151793584965,0.5463508338730831,2
0,-1.3879398804868248,-0.6055109468690658,1.3591535329440685,2
0,-1.2108196662480746,-0.35556794835990574,1.115312723222773,2
0,-1.2051968023039874,-0.4805394476144855,0.9527521834085758,2
0,-1.4329227920395233,-0.24982283360603053,1.9281154222937584,2
0,-1.108202399268481,-0.2786624103570872,0.8714719135014771,2
0,-1.4413570879556543,-0.46131306311378134,1.684274612572463,2
0,-1.4230827801373707,-0.4132471018620196,1.684274612572463,2
0,-1.331711241045952,-0.42286029411237214,1.3591535329440685,2
0,-1.2712654536470132,-0.37479433286061037,1.1965929931298716,2
0,-1.4160542002072614,-0.5189922166158948,1.5217140727582656,2
0,-1.3823170165427376,-0.5670581778676566,1.3591535329440685,2
0,-1.4722828396481347,-0.4324734863627242,1.8468351523866597,2
0,-1.2431511339265766,-0.24982283360603053,1.2778732630369698,2
0,-1.1447510149050486,-0.5958977546187133,0.7089113736872803,2
0,-1.2796997495631441,-0.547831793366952,1.0340324533156744,2
0,-1.0154251441910405,-0.3844075251109629,0.6276311037801817,2
0,-1.0561909077856737,-0.30750198710814436,0.7901916435943785,2
0,-1.2206596781502275,-0.4132471018620196,1.0340324533156744,2
0,-1.3921570284448905,-0.6247373313697704,1.2778732630369698,2
0,-1.1110138312405249,-0.4036339096116675,0.7901916435943785,2
0,-1.4160542002072614,-0.42286029411237214,1.6029943426653643,2
